Section,Element,Cardinality,Required,Field Title,Description,Property,Property Range Comments,Comments,Visibility,Example,Type,Default Value,Controlled Terms,Lookup,Ontology
,Data File Version,SINGLE,,,Version of the resource being described.,http://purl.org/radx-terms/metadata-terms/dataFileVersionDescriptor,,,,,,,,,
,,,Recommended,Version,The string identifying the version of the data file or other resource being described.,http://purl.org/radx-terms/metadata-terms/dataFileVersion,Includes Number or Text,,,,,,,,
,Data File Language,,,,Language in which the data file being described is provided.,http://purl.org/radx-terms/metadata-terms/dataFileLanguageDescriptor,,,,,,,,,
,,,Optional,Primary Language,Primary language used to present the data file (if multiple languages are present).,http://purl.org/radx-terms/metadata-terms/primaryLanguage,,,,,,[en](https://www.omg.org/spec/LCC/Languages/LaISO639-1-LanguageCodes/en),(long list of 2-letter codes),https://bioportal.bioontology.org/ontologies/ISO639-1,ONTOLOGY
,,MULTIPLE,Optional,Other Language,A language in which the data file being described is provided.,http://purl.org/radx-terms/metadata-terms/otherLanguage,,,,,,,(long list of 2-letter codes),https://bioportal.bioontology.org/ontologies/ISO639-1,ONTOLOGY
,Data File Subjects,MULTIPLE,,,"Concepts (keywords, classification, or free text terms) that define the data file or purpose (subjects which can be addressed) using the data file.",http://purl.org/radx-terms/metadata-terms/dataFileSubjectsAndKeywordsDescriptor,,,,,,,,,
,,,Recommended,Subject Identifier,"The unique identifier (IRI) of a concept (keyword, classification code, or controlled key phrase) that defines the data file or indicates for which concepts the data file can be used.",http://purl.org/radx-terms/metadata-terms/subjectIdentifier,,,,,,,,,
,,,Optional,Subject Identifier Scheme,The name of the scheme or authority used for the Subject Identifier.,http://purl.org/radx-terms/metadata-terms/subjectIdentifierScheme,,,,,,,,,
,,,Optional,Subject Identifier Scheme Identifier,The unique identifier (IRI) of the scheme or authority used for the Subject Identifier.,http://purl.org/radx-terms/metadata-terms/subjectIdentifierSchemeIdentifier,,,HIDDEN,,,,,,
,,,Optional,Keyword,"Free text subject, keyword, classification code, or key phrase describing the data file or purpose for which the data file can be used.",http://purl.org/radx-terms/metadata-terms/keyword,,,,,,,,,
,Data File Description,MULTIPLE,,,Summary of the Data File and its contents.,http://purl.org/radx-terms/metadata-terms/dataFileDescriptionDescriptor,,,,,,,,,
,,,Recommended,Description,"An account of the resource contained in the Data File; may include but is not limited to: an abstract, a table of contents, a graphical representation, or a free-text account of the resource.",http://purl.org/radx-terms/metadata-terms/dataFileDescription,,,,,textarea,,,,
,,,Optional,Description Language,Language in which the Data File description is provided.,http://purl.org/radx-terms/metadata-terms/language,,,,,,[en](https://www.omg.org/spec/LCC/Languages/LaISO639-1-LanguageCodes/en),,https://bioportal.bioontology.org/ontologies/ISO639-1,ONTOLOGY
,,,Optional,Data Dictionary File Name,The local name of the Data Dictionary file (given by the operating system) that defines this Data File's data elements.,http://purl.org/radx-terms/metadata-terms/dataDictionaryFielName,,,,,,,,,
,Data File Creator,MULTIPLE,,,An entity that brought into existence the data file being described. Creators can be people or organizations.,http://purl.org/radx-terms/metadata-terms/dataFileCreatorDescriptor,,,,,,,,,
,,,Recommended,Creator Type,The type of the creator of the described data file (person or organization).,http://purl.org/radx-terms/metadata-terms/creatorType,,,,,,,"Organization, Person",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/ResourceCreatorType,
,,,Recommended,Creator Name,The full name of the creator.,http://purl.org/radx-terms/metadata-terms/creatorName,Includes http://purl.org/dc/terms/Agent,http://vocab.fairdatacollective.org/gdmt/hasCreatorNameInfo,,Josiah Carberry,,,,,
,,,Recommended,Creator Given Name,"If the creator is a person, the personal name(s) of the creator (e.g., first and optionally middle name in Western languagues, optionally middle and last name in Asian languages).",http://purl.org/radx-terms/metadata-terms/creatorGivenName,,,,Josiah,,,,,
,,,Recommended,Creator Family Name,"If the creator is a person, the surname(s) of the creator (e.g., last name in Western languagues, first name in Asian languages).",http://purl.org/radx-terms/metadata-terms/creatorFamilyName,,,,Carberry,,,,,
,,,Recommended,Creator Identifier,Globally unique string that identifies the creator (an individual or legal entity).,http://purl.org/radx-terms/metadata-terms/language,,http://vocab.fairdatacollective.org/gdmt/hasCreatorIdentifierInfo,,https://orcid.org/0000-0002-1825-0097,,,,,
,,,Optional,Creator Identifier Scheme,The name of the scheme or authority used for the Creator Identifier.,http://purl.org/radx-terms/metadata-terms/creatorIdentifierScheme,,,,,,,"GRID, ISNI, LinkedIn ID, ORCiD, ResearcherID, ROR, Scopus",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierScheme,
,,,Optional,Creator Identifier Scheme Identifier,The unique identifier (IRI) of the scheme or authority used for the Creator Identifier.,http://purl.org/radx-terms/metadata-terms/creatorIdentifierSchemeIdentifier,,,HIDDEN,,IRI,,"https://www.researcherid.com, https://www.grid.ac/, https://ror.org/, https://isni.org/, https://www.linkedin.com/, https://www.scopus.com/, https://orcid.org/",,
,,,Recommended,Creator Affiliation,The organizational or institutional affiliation of the creator.,http://purl.org/radx-terms/metadata-terms/creatorAffiliationSchemeIdentifier,,http://vocab.fairdatacollective.org/gdmt/hasCreatorAffiliationInfo,,,,,,,
,,,Optiional,Creator Affiliation Identifier,Globally unique string that identifies the organizational affiliation of the creator.,http://purl.org/radx-terms/metadata-terms/creatorAffiliationSchemeIdentifier,,,,,,,,,
,,,Optional,Creator Affiliation Identifier Scheme,The name of the scheme or authority used for the Creator Affiliation Identifier.,http://purl.org/radx-terms/metadata-terms/creatorAffiliationIdentifierScheme,,,,,,,"GRID, ISNI, LinkedIn ID, ORCiD, ResearcherID, ROR, Scopus",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierScheme,
,,,Optional,Creator Affiliation Identifier Scheme Identifier,The unique identifier (IRI) of the scheme or authority used for the Subject Identifier.,http://purl.org/radx-terms/metadata-terms/creatorAffiliationIdentifierSchemeIdentifier,,,HIDDEN,,IRI,,"https://www.researcherid.com, https://www.grid.ac/, https://ror.org/, https://isni.org/, https://www.linkedin.com/, https://www.scopus.com/, https://orcid.org/",,
,,,Recommended,Creator Email,An email address of the creator.,http://purl.org/radx-terms/metadata-terms/creatorEmail,,,,,email,,,,
,,,Recommended,Creator Role,The role of the creator in bringing the described data file into existence.,http://purl.org/radx-terms/metadata-terms/creatorRole,,,,,,,"Contact Person, Data Collector, Data Curator, Data Manager, Distributor, Editor, Hosting Institution, Other Role, Producer, Project Leader, Project Manager, Project Member, Registration Agency, Registration Authority, Related Person, Research Group, Researcher, Rights Holder, Sponsor, Supervisor, Work Package Leader",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/ContributorRole,
,Data File Related Resource,MULTIPLE,,,Information about resource related to the data file or other entity being described.,http://purl.org/radx-terms/metadata-terms/relatedResourceDescriptor,,,,,,,,,
,,,Optional,Related Resource Identifier,A globally unique string that identifies a resource that is related to the data file being described.,http://purl.org/radx-terms/metadata-terms/relatedResourceIdentifier,,,,,,,,,
,,,Optional,Related Resource Identifier Type,The identifier type used to identify the related resource.,http://purl.org/radx-terms/metadata-terms/relatedResourceIdentifierType,,,,,,,"ARK, arXiv, bibcode, DOI, EAN13, EISSN, Handle, IGSN, IRI, ISBN, ISSN, ISTC, LISSN, LSID, PMID, PURL, UPC, URI, URL, URN, w3id",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierType,
,,,Optional,Related Resource File Name,The local name of the related resource file (given by the operating system or web service).,http://purl.org/radx-terms/metadata-terms/relatedResourceFileName,,,,,,,,,
,,,Optional,Resource Type Category,Categorical type of the resource being described. (Corresponds to DataCite's resourceTypeGeneral.),http://purl.org/radx-terms/metadata-terms/relatedResourceTypeCategory,Recommended is https://www.dublincore.org/specifications/dublin-core/dcmi-terms/,"check data file, DataPaper, and add Data Dictionary ",,,,,"Image, Interactive Resource, Workflow, Physical Object, Sound, Text, Event, Other Resource, Software, Audiovisual, Data File, Collection, Data Catalog, Service, Model, Data Stream, DataPaper",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/ResourceTypeCategory,
,,,Optional,Relation of Data File to Resource,Description of the relationship of the object being described (A) to the related resource (B).,http://purl.org/radx-terms/metadata-terms/relatedResourceRelationship,,,,,paragraph,,,,
,Data File Contributor,MULTIPLE,,,An entity that contributed in bringing into existence the data file being described. Contributors can be people or organizations.,http://purl.org/radx-terms/metadata-terms/dataFileContributorDescriptor,,,,,,,,,
,,,Optional,Contributor Type,The type of the contributor of the described data file (person or organization).,http://purl.org/radx-terms/metadata-terms/contributorType,,,,,,,"Organization, Person",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/ResourceCreatorType,
,,,Optional,Contributor Name,The full name of the contributor.,http://purl.org/radx-terms/metadata-terms/contributorName,,http://purl.org/dc/terms/contributor,,,,,,,
,,,Optional,Contributor Given Name,"If the contributor is a person, the personal name(s) of the contributor (e.g., first and optionally middle name in Western languagues, optionally middle and last name in Asian languages).",http://purl.org/radx-terms/metadata-terms/contributorGivenName,,,,,,,,,
,,,Optional,Contributor Family Name,"If the contributor is a person, the surname(s) of the conributor (e.g., last name in Western languagues, first name in Asian languages).",http://purl.org/radx-terms/metadata-terms/contributorFamilyName,,,,,,,,,
,,,Optional,Contributor Identifier,Globally unique string that identifies the contributor (an individual or legal entity).,http://purl.org/radx-terms/metadata-terms/contributorIdentifier,,http://vocab.fairdatacollective.org/gdmt/hasContributorIdentifierInfo,,,,,,,
,,,Optional,Contributor Identifier Scheme,The name of the scheme or authority used for the Contributor Identifier.,http://purl.org/radx-terms/metadata-terms/contributorIdentifierScheme,,,,,,,"GRID, ISNI, LinkedIn ID, ORCiD, ResearcherID, ROR, Scopus",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierScheme,
,,,Optional,Contributor Identifier Scheme IRI,The unique identifier (IRI) of the scheme or authority used for the Contributor Identifier.,http://purl.org/radx-terms/metadata-terms/contributorIdentifierSchemeIdentifier,,1-1 mapping of names to IRIs,HIDDEN,,IRI,,"https://www.researcherid.com, https://www.grid.ac/, https://ror.org/, https://isni.org/, https://www.linkedin.com/, https://www.scopus.com/, https://orcid.org/",,
,,,Optional,Contributor Affiliation,"If the contributor is a person, the organizational or institutional affiliation of the contributor.",http://purl.org/radx-terms/metadata-terms/contributorAffiliation,,http://vocab.fairdatacollective.org/gdmt/hasContributorAffiliationInfo,,,,,,,
,,,Optional,Contributor Affiliation Identifier,Globally unique string that identifies the organizational affiliation of the contributor.,http://purl.org/radx-terms/metadata-terms/contributorAffiliationIdentifier,,,,,,,,,
,,,Optional,Contributor Affiliation Identifier Scheme,The name of the scheme or authority used for the Contributor Affiliation Identifier.,http://purl.org/radx-terms/metadata-terms/contributorAffiliationIdentifierScheme,,,,,,,"GRID, ISNI, LinkedIn ID, ORCiD, ResearcherID, ROR, Scopus",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierScheme,
,,,Optional,Contributor Affiliation Identifier Scheme IRI,The unique identifier (IRI) of the scheme or authority used for the Contributor Affiliation Identifier Scheme.,http://purl.org/radx-terms/metadata-terms/contributorAffiliationIdentifierSchemeIri,,1-1 mapping of names to IRIs,HIDDEN,,IRI,,"https://www.researcherid.com, https://www.grid.ac/, https://ror.org/, https://isni.org/, https://www.linkedin.com/, https://www.scopus.com/, https://orcid.org/",,
,,,Optional,Contributor Email,An email address of the contributor.,http://purl.org/radx-terms/metadata-terms/contributorEmail,,,,,email,,,,
,,,Optional,Contributor Role,The role of the contributor in bringing the described data file into existence.,http://purl.org/radx-terms/metadata-terms/contributorRole,,,,,,,"Contact Person, Data Collector, Data Curator, Data Manager, Distributor, Editor, Hosting Institution, Other Role, Producer, Project Leader, Project Manager, Project Member, Registration Agency, Registration Authority, Related Person, Research Group, Researcher, Rights Holder, Sponsor, Supervisor, Work Package Leader",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/ContributorRole,
,Data File Rights,MULTIPLE,,,Way in which the data file may or may not be accessed and used.,http://purl.org/radx-terms/metadata-terms/rightsDescriptor,,,,,,,,,
,,,Optional,License Name,A standardized version of the license name.,http://purl.org/radx-terms/metadata-terms/licenseName,,,,,,,"0BSD, AAL, Abstyles, Adobe-2006, Adobe-Glyph, ADSL, AFL-1.1, AFL-1.2, AFL-2.0, AFL-2.1, AFL-3.0, Afmparse, AGPL-1.0-only, AGPL-1.0-or-later, AGPL-3.0-only, AGPL-3.0-or-later, Aladdin, AMDPLPA, AML, AMPAS, ANTLR-PD, ANTLR-PD-fallback, Apache-1.0, Apache-1.1, Apache-2.0, APAFML, APL-1.0, APSL-1.0, APSL-1.1, APSL-1.2, APSL-2.0, Artistic-1.0, Artistic-1.0-cl8, Artistic-1.0-Perl, Artistic-2.0, Bahyph, Barr, Beerware, BitTorrent-1.0, BitTorrent-1.1, blessing, BlueOak-1.0.0, Borceux, BSD-1-Clause, BSD-2-Clause, BSD-2-Clause-Patent, BSD-2-Clause-Views, BSD-3-Clause, BSD-3-Clause-Attribution, BSD-3-Clause-Clear, BSD-3-Clause-LBNL, BSD-3-Clause-No-Nuclear-License, BSD-3-Clause-No-Nuclear-License-2014, BSD-3-Clause-No-Nuclear-Warranty, BSD-3-Clause-Open-MPI, BSD-4-Clause, BSD-4-Clause-UC, BSD-Protection, BSD-Source-Code, BSL-1.0, BUSL-1.1, bzip2-1.0.5, bzip2-1.0.6, CAL-1.0, CAL-1.0-Combined-Work-Exception, Caldera, CATOSL-1.1, CC-BY-1.0, CC-BY-2.0, CC-BY-2.5, CC-BY-3.0, CC-BY-3.0-AT, CC-BY-3.0-US, CC-BY-4.0, CC-BY-NC-1.0, CC-BY-NC-2.0, CC-BY-NC-2.5, CC-BY-NC-3.0, CC-BY-NC-4.0, CC-BY-NC-ND-1.0, CC-BY-NC-ND-2.0, CC-BY-NC-ND-2.5, CC-BY-NC-ND-3.0, CC-BY-NC-ND-3.0-IGO, CC-BY-NC-ND-4.0, CC-BY-NC-SA-1.0, CC-BY-NC-SA-2.0, CC-BY-NC-SA-2.5, CC-BY-NC-SA-3.0, CC-BY-NC-SA-4.0, CC-BY-ND-1.0, CC-BY-ND-2.0, CC-BY-ND-2.5, CC-BY-ND-3.0, CC-BY-ND-4.0, CC-BY-SA-1.0, CC-BY-SA-2.0, CC-BY-SA-2.0-UK, CC-BY-SA-2.5, CC-BY-SA-3.0, CC-BY-SA-3.0-AT, CC-BY-SA-4.0, CC-PDDC, CC0-1.0, CDDL-1.0, CDDL-1.1, CDLA-Permissive-1.0, CDLA-Sharing-1.0, CECILL-1.0, CECILL-1.1, CECILL-2.0, CECILL-2.1, CECILL-B, CECILL-C, CERN-OHL-1.1, CERN-OHL-1.2, CERN-OHL-P-2.0, CERN-OHL-S-2.0, CERN-OHL-W-2.0, ClArtistic, CNRI-Jython, CNRI-Python, CNRI-Python-GPL-Compatible, Condor-1.1, copyleft-next-0.3.0, copyleft-next-0.3.1, CPAL-1.0, CPL-1.0, CPOL-1.02, Crossword, CrystalStacker, CUA-OPL-1.0, Cube, curl, D-FSL-1.0, diffmark, DOC, Dotseqn, DSDP, dvipdfm, ECL-1.0, ECL-2.0, EFL-1.0, EFL-2.0, eGenix, Entessa, EPICS, EPL-1.0, EPL-2.0, ErlPL-1.1, etalab-2.0, EUDatagrid, EUPL-1.0, EUPL-1.1, EUPL-1.2, Eurosym, Fair, Frameworx-1.0, FreeImage, FSFAP, FSFUL, FSFULLR, FTL, GFDL-1.1-invariants-only, GFDL-1.1-invariants-or-later, GFDL-1.1-no-invariants-only, GFDL-1.1-no-invariants-or-later, GFDL-1.1-only, GFDL-1.1-or-later, GFDL-1.2-invariants-only, GFDL-1.2-invariants-or-later, GFDL-1.2-no-invariants-only, GFDL-1.2-no-invariants-or-later, GFDL-1.2-only, GFDL-1.2-or-later, GFDL-1.3-invariants-only, GFDL-1.3-invariants-or-later, GFDL-1.3-no-invariants-only, GFDL-1.3-no-invariants-or-later, GFDL-1.3-only, GFDL-1.3-or-later, Giftware, GL2PS, Glide, Glulxe, GLWTPL, gnuplot, GPL-1.0-only, GPL-1.0-or-later, GPL-2.0-only, GPL-2.0-or-later, GPL-3.0-only, GPL-3.0-or-later, gSOAP-1.3b, HaskellReport, Hippocratic-2.1, HPND, HPND-sell-variant, HTMLTIDY, IBM-pibs, ICU, IJG, ImageMagick, iMatix, Imlib2, Info-ZIP, Intel, Intel-ACPI, Interbase-1.0, IPA, IPL-1.0, ISC, JasPer-2.0, JPNIC, JSON, LAL-1.2, LAL-1.3, Latex2e, Leptonica, LGPL-2.0-only, LGPL-2.0-or-later, LGPL-2.1-only, LGPL-2.1-or-later, LGPL-3.0-only, LGPL-3.0-or-later, LGPLLR, Libpng, libpng-2.0, libselinux-1.0, libtiff, LiLiQ-P-1.1, LiLiQ-R-1.1, LiLiQ-Rplus-1.1, Linux-OpenIB, LPL-1.0, LPL-1.02, LPPL-1.0, LPPL-1.1, LPPL-1.2, LPPL-1.3a, LPPL-1.3c, MakeIndex, MirOS, MIT, MIT-0, MIT-advertising, MIT-CMU, MIT-enna, MIT-feh, MIT-open-group, MITNFA, Motosoto, mpich2, MPL-1.0, MPL-1.1, MPL-2.0, MPL-2.0-no-copyleft-exception, MS-PL, MS-RL, MTLL, MulanPSL-1.0, MulanPSL-2.0, Multics, Mup, NASA-1.3, Naumen, NBPL-1.0, NCGL-UK-2.0, NCSA, Net-SNMP, NetCDF, Newsletr, NGPL, NIST-PD, NIST-PD-fallback, NLOD-1.0, NLPL, Nokia, NOSL, Noweb, NPL-1.0, NPL-1.1, NPOSL-3.0, NRL, NTP, NTP-0, O-UDA-1.0, OCCT-PL, OCLC-2.0, ODbL-1.0, ODC-By-1.0, OFL-1.0, OFL-1.0-no-RFN, OFL-1.0-RFN, OFL-1.1, OFL-1.1-no-RFN, OFL-1.1-RFN, OGC-1.0, OGL-Canada-2.0, OGL-UK-1.0, OGL-UK-2.0, OGL-UK-3.0, OGTSL, OLDAP-1.1, OLDAP-1.2, OLDAP-1.3, OLDAP-1.4, OLDAP-2.0, OLDAP-2.0.1, OLDAP-2.1, OLDAP-2.2, OLDAP-2.2.1, OLDAP-2.2.2, OLDAP-2.3, OLDAP-2.4, OLDAP-2.5, OLDAP-2.6, OLDAP-2.7, OLDAP-2.8, OML, OpenSSL, OPL-1.0, OSET-PL-2.1, OSL-1.0, OSL-1.1, OSL-2.0, OSL-2.1, OSL-3.0, Parity-6.0.0, Parity-7.0.0, PDDL-1.0, PHP-3.0, PHP-3.01, Plexus, PolyForm-Noncommercial-1.0.0, PolyForm-Small-Business-1.0.0, PostgreSQL, PSF-2.0, psfrag, psutils, Python-2.0, Qhull, QPL-1.0, Rdisc, RHeCos-1.1, RPL-1.1, RPL-1.5, RPSL-1.0, RSA-MD, RSCPL, Ruby, SAX-PD, Saxpath, SCEA, Sendmail, Sendmail-8.23, SGI-B-1.0, SGI-B-1.1, SGI-B-2.0, SHL-0.5, SHL-0.51, SimPL-2.0, SISSL, SISSL-1.2, Sleepycat, SMLNJ, SMPPL, SNIA, Spencer-86, Spencer-94, Spencer-99, SPL-1.0, SSH-OpenSSH, SSH-short, SSPL-1.0, SugarCRM-1.1.3, SWL, TAPR-OHL-1.0, TCL, TCP-wrappers, TMate, TORQUE-1.1, TOSL, TU-Berlin-1.0, TU-Berlin-2.0, UCL-1.0, Unicode-DFS-2015, Unicode-DFS-2016, Unicode-TOU, Unlicense, UPL-1.0, Vim, VOSTROM, VSL-1.0, W3C, W3C-19980720, W3C-20150513, Watcom-1.0, Wsuipa, WTFPL, X11, Xerox, XFree86-1.1, xinetd, Xnet, xpp, XSkat, YPL-1.0, YPL-1.1, Zed, Zend-2.0, Zimbra-1.3, Zimbra-1.4, Zlib, zlib-acknowledgement, ZPL-1.1, ZPL-2.0, ZPL-2.1",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/LicenseIdentifier,
,,,Optional,License Identifier,The unique identifier (IRI) of the license for the data file being described.,http://purl.org/radx-terms/metadata-terms/licenseIri,,1-1 mapping of names to IRIs,HIDDEN,,IRI,,,,
,,,Optional,License Text,Text string describing any rights information for the data file being described.,http://purl.org/radx-terms/metadata-terms/licenseText,,,,,,,,,
,Data File Date,MULTIPLE,,,Relevant date related to the data file being described.,http://purl.org/radx-terms/metadata-terms/dataFileDateDescriptor,,,,,,,,,
,,,Optional,Data File Date Type,Type of the date with respect to the data file.,http://purl.org/radx-terms/metadata-terms/dateType,,,,,,,"Accepted, Available, Collected, Copyrighted, Created, Issued, Published, Submitted, Updated, Valid, Withdrawn",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/DateType,
,,,Optional,Data File Date,Date relevant to data file.,http://purl.org/radx-terms/metadata-terms/date,,,,,date,,,,
,Data File Parent Study,MULTIPLE,,,The research study for which this data file was created.,http://purl.org/radx-terms/metadata-terms/parentStudyDescriptor,,,,,,,,,
,,,Required,PHS identifier,"The PHS number, that identifies the study for which this data file was created.",http://purl.org/radx-terms/metadata-terms/parentStudyPhsIdentifier,,phs number,,,,,,,
,,,Recommended,Study Identifier,Globally unique string that identifies the study for which this data file was created.,http://purl.org/radx-terms/metadata-terms/ParentStudyIdentifier,,,,,,,,,
,,,Optional,Study Identifier Scheme,The name of the scheme or authority used for the Study Identifier.,http://purl.org/radx-terms/metadata-terms/parentStudyIdentifierScheme,,,,,,,"ARK, arXiv, bibcode, DOI, EAN13, EISSN, Handle, IGSN, IRI, ISBN, ISSN, ISTC, LISSN, LSID, PMID, PURL, UPC, URI, URL, URN, w3id",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierType,
,,,Optional,Study Identifier Scheme IRI,The unique identifier (IRI) of the scheme or authority used for the Study Identifier.,http://purl.org/radx-terms/metadata-terms/parentStudyIdentifierSchemeIri,,"not clear this is needed in this case; is hidden, anyway",HIDDEN,,IRI,,,,
,,,Recommended,Study Name,The name of the research study for which this data file was created.,http://purl.org/radx-terms/metadata-terms/parentStudyName,,,,,,,,,
,,,Optional,Study Start Date,The official start date for the study for which this data file was created.,http://purl.org/radx-terms/metadata-terms/studyStartDate,,,,,date,,,,
,,,Optional,Study End Date,The official end date for the study for which this data file was created.,http://purl.org/radx-terms/metadata-terms/studyEndDate,,,,,date,,,,
,Data File Funding Source,MULTIPLE,,,The sources of funding that enabled and drove the creation of the data file. (Non-monetary sources are described under Contributor.),http://purl.org/radx-terms/metadata-terms/fundingSourceDescriptor,,,,,,,,,
,,,Optional,Award Title,"The human readable title of the award, grant, or other specific funding mechanism for the described data file.",http://purl.org/radx-terms/metadata-terms/awardTitle,,,,,,,,,
,,,Optional,Award Page URL,The unique identifier (IRI) leading to a page provided by the funder for more information about the award (grant).,http://purl.org/radx-terms/metadata-terms/awardPageUrl,,,,,IRI,,,,
,,,Recommended,Award Local Identifier,"The code assigned by the funding provider to a sponsored award (grant). (Can be an IRI, but typically is not.)",http://purl.org/radx-terms/metadata-terms/awardIdentifier,,,,,,,,,
,,,Recommended,Funder Name,Name of the organization providing the funding for the described data file ('funding provider').,http://purl.org/radx-terms/metadata-terms/funderName,,,,,,,,,
,,,Recommended,Funder Identifier,Globally unique string that identifies the funding provider.,http://purl.org/radx-terms/metadata-terms/funderIdentifier,,,,,,,,,
,,,Optional,Funder Identifier Scheme,Name of the scheme or authority for the Funder Identifier.,http://purl.org/radx-terms/metadata-terms/funderIdentifierScheme,,,,,,,"GRID, ISNI, LinkedIn ID, ORCiD, ResearcherID, ROR, Scopus",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierScheme,
